IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-1-1,15,9,4,12,7,4,100,95,67,1017,1014,1012,1,0,0,11,6,,0.00,2,Fog,302
2013-1-2,9,7,6,9,7,6,100,100,100,1018,1016,1014,1,1,0,16,6,,0.00,1,Fog,277
2013-1-3,10,7,4,10,7,4,100,99,87,1020,1017,1016,2,1,0,13,10,,0.00,2,Fog,299
2013-1-4,13,8,3,9,5,3,100,92,63,1019,1017,1015,2,1,0,13,6,,0.00,3,Fog,289
2013-1-5,11,6,2,9,6,2,100,97,76,1017,1015,1014,2,1,0,13,8,,0.00,1,Fog,295
2013-1-6,10,7,4,9,6,4,100,98,82,1020,1017,1016,2,1,0,13,6,,0.00,0,Fog,309
2013-1-7,11,6,1,9,4,1,100,95,67,1021,1018,1016,2,1,0,14,8,,0.00,,Fog,273
2013-1-8,14,8,3,7,4,2,100,86,44,1019,1017,1016,4,1,0,19,11,,0.00,,Fog,267
2013-1-9,20,11,2,10,4,0,100,75,26,1019,1017,1015,6,2,0,23,10,,0.00,,Fog,267
2013-1-10,20,12,5,7,5,3,100,64,33,1017,1015,1014,4,3,1,26,13,34,0.00,1,Fog,274
2013-1-11,21,13,5,10,7,5,100,68,35,1018,1015,1014,5,3,1,23,10,,0.00,,Fog,265
2013-1-12,24,16,7,13,9,7,100,70,34,1018,1015,1013,3,2,1,14,5,,0.00,2,Fog,118
2013-1-13,21,16,11,16,14,11,100,87,64,1015,1013,1012,1,1,0,19,10,,0.00,1,Fog,228
2013-1-14,19,14,9,18,12,9,100,98,83,1017,1015,1013,1,1,0,13,6,,0.00,3,Fog,263
2013-1-15,21,13,6,15,9,6,100,83,43,1017,1015,1014,3,1,0,14,3,,0.00,3,Fog,111
2013-1-16,23,17,11,17,13,10,100,84,46,1019,1016,1015,2,1,0,16,6,,0.00,3,Fog,112
2013-1-17,19,17,15,19,16,12,100,98,82,1018,1015,1014,3,1,1,19,10,,0.00,3,Fog-Rain,28
2013-1-18,16,13,11,16,13,11,100,100,100,1019,1014,1011,5,3,2,23,10,,0.00,5,Rain-Thunderstorm,269
2013-1-19,18,13,8,15,9,5,100,88,45,1022,1020,1019,5,2,0,23,5,,0.00,3,Fog,288
2013-1-20,17,11,6,11,8,6,100,86,48,1021,1019,1018,5,2,0,21,8,,0.00,,Fog,280
2013-1-21,19,12,5,10,7,3,100,82,37,1023,1020,1019,5,2,1,16,8,,0.00,2,Fog,260
2013-1-22,18,11,5,10,7,4,100,79,40,1023,1020,1019,5,2,1,13,5,,0.00,1,Fog,256
2013-1-23,19,12,5,11,7,2,100,78,32,1022,1020,1018,4,1,0,14,3,,0.00,,Fog,283
2013-1-24,19,12,6,11,8,5,100,81,40,1022,1020,1018,3,1,0,16,5,,0.00,,Fog,268
2013-1-25,20,13,6,10,7,3,100,78,33,1021,1019,1018,5,2,0,21,8,,0.00,,Fog,263
2013-1-26,20,12,5,11,7,4,100,74,35,1021,1019,1018,4,2,1,21,6,,0.00,,Fog,268
2013-1-27,21,13,7,11,8,4,100,76,35,1020,1018,1017,4,2,1,21,5,,0.00,3,Fog,272
2013-1-28,21,13,7,10,7,3,100,71,31,1019,1017,1016,5,2,1,13,2,,0.00,3,Fog,269
2013-1-29,22,14,8,11,8,5,100,74,35,1017,1016,1015,3,1,0,16,3,,0.00,1,Fog,301
2013-1-30,23,16,8,14,10,6,100,76,33,1019,1017,1016,2,1,0,11,3,,0.00,3,Fog,323
2013-1-31,21,16,10,14,11,9,100,85,46,1020,1018,1016,2,1,0,13,2,,0.00,3,Fog,286
2013-2-1,22,14,8,16,12,8,100,89,50,1021,1018,1016,2,1,0,11,3,,0.00,3,Fog,268
2013-2-2,23,18,14,18,14,8,100,84,38,1019,1017,1015,3,1,0,11,3,,0.00,5,Fog,325
2013-2-3,25,18,10,16,11,6,100,75,29,1017,1016,1013,3,1,0,11,2,,0.00,3,Fog,174
2013-2-4,19,17,16,17,15,12,94,85,68,1018,1014,1011,4,2,1,34,16,37,0.00,6,Thunderstorm,89
2013-2-5,18,16,14,18,16,14,100,99,94,1018,1015,1012,3,2,1,27,16,34,0.00,7,Rain-Thunderstorm,130
2013-2-6,21,17,14,17,13,5,100,83,37,1020,1018,1017,6,3,1,23,8,,0.00,4,Rain,330
2013-2-7,19,14,9,13,11,7,100,80,46,1021,1018,1016,5,4,1,23,13,,0.00,1,Fog,299
2013-2-8,20,13,7,13,11,7,100,86,52,1018,1017,1016,5,2,1,23,8,,0.00,,Fog,275
2013-2-9,21,14,8,12,10,7,100,76,40,1019,1016,1015,5,3,1,16,10,,0.00,,Fog,276
2013-2-10,22,16,9,14,10,4,100,76,31,1019,1017,1015,4,1,0,11,3,,0.00,2,Fog,275
2013-2-11,22,16,9,15,12,8,100,83,41,1019,1016,1014,4,1,0,13,3,,0.00,1,Fog,287
2013-2-12,22,16,9,15,11,7,100,78,38,1020,1016,1013,4,2,0,19,5,,0.00,2,Fog,286
2013-2-13,24,17,10,16,12,8,100,78,36,1018,1016,1014,5,2,1,14,8,,0.00,1,Fog,273
2013-2-14,25,18,11,15,11,5,100,73,28,1016,1014,1012,5,2,1,13,8,,0.00,4,Fog,276
2013-2-15,22,18,15,18,14,8,100,79,41,1014,1011,1009,4,2,1,34,8,34,0.00,6,Fog-Rain-Thunderstorm,41
2013-2-16,17,14,13,17,14,13,100,99,94,1011,1007,1004,4,3,2,26,16,37,0.00,7,Rain-Thunderstorm,144
2013-2-17,18,16,13,16,14,13,100,99,83,1015,1011,1008,4,3,1,11,5,,0.00,5,Fog-Rain,145
2013-2-18,19,14,10,18,13,10,100,95,82,1017,1015,1013,4,1,0,14,6,,0.00,2,Fog,266
2013-2-19,21,16,12,17,14,11,100,90,64,1017,1015,1014,4,2,0,16,8,,0.00,3,Fog,277
2013-2-20,22,16,10,19,14,10,100,89,64,1019,1016,1015,3,1,0,19,5,,0.00,1,Fog,285
2013-2-21,26,19,12,18,14,10,100,79,36,1017,1015,1014,4,2,0,14,5,,0.00,3,Fog,203
2013-2-22,25,20,16,19,16,11,100,77,41,1019,1016,1014,4,2,1,24,14,,0.00,3,Thunderstorm,100
2013-2-23,21,17,14,18,17,13,100,91,64,1020,1015,1012,6,3,1,37,14,55,0.00,6,Rain-Thunderstorm,98
2013-2-24,22,17,12,18,15,12,100,92,64,1020,1019,1017,6,3,1,19,8,,0.00,2,,305
